,id,Trial,Choice,ReactionTime,Congruence
0,1,1,0.0,5.143760371602283,congruent
1,1,2,0.0,4.643760371602293,congruent
2,1,3,0.0,4.243760371602302,congruent
3,1,4,0.0,4.4937603716022965,congruent
4,1,5,0.0,4.893760371602288,congruent
5,1,6,0.0,5.293760371602279,congruent
6,1,7,0.0,5.3837603716022775,congruent
7,1,8,0.0,5.163760371602282,congruent
8,1,9,0.0,5.603760371602273,congruent
9,1,10,0.0,6.443760371602255,congruent
10,1,11,0.0,4.953760371602287,congruent
11,1,12,0.0,6.1337603716022615,congruent
12,1,13,0.0,4.903760371602288,congruent
13,1,14,0.0,5.003760371602286,congruent
14,1,15,0.0,8.723760371602207,congruent
15,1,16,0.0,4.703760371602292,congruent
16,1,17,0.0,5.183760371602282,congruent
17,1,18,0.0,6.003760371602264,congruent
18,1,19,0.0,4.753760371602291,congruent
19,1,20,0.0,5.813760371602268,congruent
20,1,21,0.0,7.103760371602241,congruent
21,1,22,0.0,4.9637603716022864,congruent
22,1,23,0.0,6.4137603716022555,congruent
23,1,24,0.0,6.083760371602263,congruent
24,1,25,0.0,4.243760371602302,congruent
25,1,26,0.0,6.563760371602252,congruent
26,1,27,0.0,5.843760371602268,congruent
27,1,28,0.0,6.4137603716022555,congruent
28,1,29,0.0,4.373760371602299,congruent
29,1,30,0.0,5.613760371602273,congruent
30,1,31,0.0,5.583760371602273,congruent
31,1,32,0.0,5.403760371602277,congruent
32,1,33,0.0,5.373760371602278,congruent
33,1,34,0.0,6.68376037160225,congruent
34,1,35,0.0,8.213760371602218,congruent
35,1,36,0.0,5.26376037160228,congruent
36,1,37,0.0,5.003760371602286,congruent
37,1,38,0.0,6.583760371602252,congruent
38,1,39,0.0,5.2437603716022805,congruent
39,1,40,0.0,4.833760371602289,congruent
40,1,41,0.0,5.583760371602273,congruent
41,1,42,0.0,4.873760371602288,congruent
42,1,43,0.0,6.043760371602263,congruent
43,1,44,0.0,5.983760371602265,congruent
44,1,45,0.0,4.883760371602288,congruent
45,1,46,0.0,5.603760371602273,congruent
46,1,47,0.0,5.063760371602284,congruent
47,1,48,0.0,5.653760371602272,congruent
48,1,49,0.0,5.8037603716022685,congruent
49,1,50,0.0,5.843760371602268,congruent
50,1,51,0.0,5.1937603716022815,incongruent
51,1,52,0.0,5.8037603716022685,incongruent
52,1,53,0.0,6.373760371602256,incongruent
53,1,54,0.0,4.733760371602291,incongruent
54,1,55,0.0,4.923760371602287,incongruent
55,1,56,0.0,5.173760371602282,incongruent
56,1,57,0.0,6.513760371602253,incongruent
57,1,58,0.0,6.4137603716022555,incongruent
58,1,59,0.0,5.783760371602269,incongruent
59,1,60,0.0,5.2437603716022805,incongruent
60,1,61,0.0,4.553760371602295,incongruent
61,1,62,0.0,5.303760371602279,incongruent
62,1,63,0.0,7.723760371602228,incongruent
63,1,64,0.0,5.123760371602283,incongruent
64,1,65,0.0,6.013760371602264,incongruent
65,1,66,0.0,5.353760371602278,incongruent
66,1,67,0.0,5.173760371602282,incongruent
67,1,68,0.0,5.593760371602273,incongruent
68,1,69,0.0,4.903760371602288,incongruent
69,1,70,0.0,5.683760371602271,incongruent
70,1,71,0.0,5.633760371602272,incongruent
71,1,72,0.0,4.973760371602286,incongruent
72,1,73,0.0,4.513760371602296,incongruent
73,1,74,0.0,7.053760371602242,incongruent
74,1,75,0.0,6.333760371602257,incongruent
75,1,76,0.0,4.853760371602289,incongruent
76,1,77,0.0,6.19376037160226,incongruent
77,1,78,0.0,8.713760371602207,incongruent
78,1,79,0.0,4.613760371602294,incongruent
79,1,80,0.0,5.973760371602265,incongruent
80,1,81,0.0,5.8037603716022685,incongruent
81,1,82,0.0,5.133760371602283,incongruent
82,1,83,0.0,5.483760371602275,incongruent
83,1,84,0.0,5.983760371602265,incongruent
84,1,85,0.0,4.7737603716022905,incongruent
85,1,86,0.0,4.993760371602286,incongruent
86,1,87,0.0,6.053760371602263,incongruent
87,1,88,0.0,4.643760371602293,incongruent
88,1,89,0.0,5.923760371602266,incongruent
89,1,90,0.0,8.313760371602216,incongruent
90,1,91,0.0,5.043760371602285,incongruent
91,1,92,0.0,4.79376037160229,incongruent
92,1,93,0.0,5.173760371602282,incongruent
93,1,94,0.0,6.703760371602249,incongruent
94,1,95,0.0,6.5537603716022526,incongruent
95,1,96,0.0,6.543760371602253,incongruent
96,1,97,0.0,4.943760371602287,incongruent
97,1,98,0.0,6.303760371602258,incongruent
98,1,99,0.0,5.363760371602278,incongruent
99,1,100,0.0,6.473760371602254,incongruent
